string,n,frequency
of his men of,4,1
that went against,3,4
little fleet,2,1
holds that were,3,1
deep glide,2,1
christian sect that,3,1
righteously dispensed,2,1
free to,2,1
niagara frontier laid waste,4,1
states that,2,5
as they could unto,4,1
help them to take the,5,1
the lake at a place,5,1
showered the whizzing,3,1
your judgment,2,1
schooner dominica of guns captured,5,1
called her name,3,1
together and with their might,5,1
your nation and,3,1
to return to his,4,1
and meet him and join,5,1
been devised by armstrong the,5,1
all their acts they suffered,5,1
they were seized with astonishment,5,1
laid waste your,3,1
for although the,3,1
was coffee with,3,1
hot from the,3,1
deceived in judgment for,4,1
likely to be ensnared,4,1
destroying engines and the black,5,1
for my country,3,1
they put their fingers,4,1
over again that they,4,1
cry of,2,1
the beauty,2,1
british fleet on lake erie,5,1
their loss,2,1
now when the great,4,1
by isaac whose surname,4,1
the wise men of the,5,4
of nations for it,4,1
so they were and fled,5,1
body was,2,2
of columbia all along the,5,1
were encamped,2,2
his vessel upon the,4,1
our hands to be buffeted,5,1
lips with vexation for,4,1
them whole some food,4,1
score and ten women,4,1
of many hundred years had,5,1
lived at a place,4,1
for the nations were wroth,5,1
hand men of harrison with,5,1
there also with his,4,1
that for a,3,1
they fought with all,4,1
of his expedition he returned,5,1
skill,1,4
their loud,2,2
accomplished,1,3
and when some of his,5,1
vessel of columbia was called,5,1
time to save themselves,4,1
infamy and make it become,5,1
iron whistled in,3,1
upon them for their and,5,1
borrows a medal of,4,1
thousand miles,2,7
were used in great,4,1
than the people,3,1
bells that sounded along,4,1
with fear that,3,1
to his brave warriors,4,1
distance upon,2,1
that sailed on,3,2
now the pelican was somewhat,5,1
that a mighty,3,2
him for his gallant exploits,5,1
about the fourth,3,3
nigh unto a,3,2
before them that,3,1
and the counsellors of,4,4
leaden balls whizzed about their,5,1
been trained to,3,1
brave and persevering hull,4,1
the mariners of the united,5,1
two hundred of them,4,1
fort many days and,4,1
unto it in the,4,1
balls it lead,3,1
dark and rainy they departed,5,1
did the men,3,2
strong ships of,3,28
was but a faint hope,5,1
an hundred thou sand,4,1
heard that columbus had found,5,1
had made him,3,1
the fourth month the army,5,1
to destroy the men,4,1
moreover one,2,2
themselves a free and,4,1
sat the destroying engines,4,1
friend of liberty,3,1
the servants of britain that,5,1
grieved only,2,2
hundred of the destroying engines,5,1
unto the voice of moderation,5,1
fourteen years,2,1
columbia slumbered in,3,1
village called grace,3,1
the waters nay even,4,1
with their sails spread moving,5,1
brave man whose name,4,3
and they moved towards,4,2
columns come,2,1
movements were slow,3,1
incessantly,1,1
became ashamed,2,1
flee before the host of,5,1
the toil of many years,5,1
to other places and,4,1
upon them and smote them,5,1
white sails were spread,4,1
battle array,2,10
another with a noise like,5,1
mighty men of valor,4,2
all their acts they,4,1
the little villages,3,1
men from the west and,5,1
thereof was about,3,2
engines and it was like,5,1
neither did he expect,4,1
hearts of the,3,6
of many thunders,3,1
the destroying engines but,4,1
all their plans,3,1
nigh unto the town of,5,1
of the brass engines,4,1
horse with a handful of,5,1
of the forest in the,5,1
of destruction which were not,5,1
moreover while,2,1
and their army were captured,5,1
people of columbia were,4,8
himself a wicked man,4,1
side became,2,1
wounded that day,3,1
ruler and all,3,1
be recorded as,3,1
a man whose,3,4
of three hours decatur,4,1
however about,2,2
fire and smoke were,4,3
of wood and drawers of,5,1
engines they cast anchor and,5,1
time there arrived to,4,1
places and committed like,4,1
he had conquered the,4,1
where three of the indian,5,1
happened on the twenty and,5,1
children who were,3,1
animals of,2,1
out of her,3,2
down to the river,4,1
of ross their chief,4,2
hopes of conquering,3,1
he went forth to battle,5,1
dust of their magazines,4,1
let the children,3,1
to pass over the river,5,1
they took their,3,2
name of their chief captain,5,1
celebrate the jubilee rent,4,1
the lake went down into,5,1
and fourth day of,4,1
to their own dwellings,4,1
guy were twenty,3,1
hundreds,1,2
seas inasmuch,2,1
themselves of making,3,1
who had surrendered,3,1
arrayed in their,3,1
thirty and ninth year,4,1
in the forum but in,5,1
the mariners of the royal,5,1
he could go out,4,1
of conquering the,3,1
and i myself,3,1
columbia after having left some,5,1
and presented,2,1
they praised,2,1
all manner of creatures,4,1
the youthful perry burst,4,1
was jones and,3,1
of britain were dismayed and,5,1
daughter and,2,1
of their evils,3,1
and when their white,4,1
place where he essayed,4,1
brave officers and,3,1
a fiery furnace placed in,5,1
it caused them to let,5,1
the east where he unto,5,1
captain conducted them on towards,5,1
that liberty and independence,4,1
she bade defiance,3,1
the provinces of the,4,2
nevertheless if difficulties and,4,1
the great they were,4,1
six hundred and,3,1
their looks cruelty was in,5,1
of britain heard those,4,2
the king which,3,6
he was examined,3,1
of american independence,3,1
the king one,3,1
ship of britain were more,5,1
three and the same,4,1
anchor and shortly arrived before,5,1
now it had curiously happened,5,1
battle array to go,4,1
brave warriors and said,4,1
out of his,3,2
he is a,3,1
to construct,2,3
his vessels and,3,2
regarded him for his,4,1
tents and their,3,1
still bent on warring against,5,1
a plan to,3,1
and ignorant barbarians,3,1
of our patience and,4,1
houses from which,3,1
the lake carried about,4,1
the ship and,3,2
columbia moreover she was,4,1
ashamed and,2,1
make men mad,3,1
ice and the arms,4,1
meantime that and the wicked,5,1
the mischievous balls of,4,1
their footsteps violated,3,1
porter raised fortifications upon the,5,1
well skilled in the,4,2
was burrows fell in with,5,1
came down upon,3,2
for we suffer not,4,1
the ways of,3,1
britain across the mighty,4,1
of the lake called ontario,5,1
up one against another and,5,1
cubits the number,3,1
charleston being in the state,5,1
men of columbia have done,5,1
steam frigate and they,4,1
the great had,3,1
engines to utter,3,1
morris and,2,1
the savages even,3,2
compelled to strike the,4,1
ball of,2,1
goose and placed them,4,1
britain drive the vessels,4,1
columbia they shouted aloud,4,1
it in like with,4,1
ten fighting vessels carrying,4,1
in the land of,4,8
set his destroying engines to,5,1
called east,2,1
that fought was,3,1
sent upon an,3,1
the vessel was ensnared,4,1
camp and they,3,1
even a thousand savages and,5,1
extensive country of russia that,5,1
them and slew numbers of,5,1
we have the destroying engines,5,1
lawrence and the,3,1
skies,1,1
on account of,3,2
all the men of britain,5,1
two armies at the,4,1
folly of man,3,1
of columbia three were,4,1
coming was as the,4,1
they beheld,2,2
the interpretation thereof was,4,1
at the strong,3,4
in by a servant of,5,1
not up then,3,1
of the state over,4,1
thereby did much,3,1
about the fourth day,4,1
that on the next,4,1
part of the land,4,2
upon the gently,3,1
in this act,3,1
now harrison,2,1
qua non,2,2
whole army of jack,4,1
of columbia about two,4,1
balls were showered like unto,5,1
day was about an,4,1
name and called,3,1
when the princes and the,5,1
became captive to,3,2
sons of columbia were neither,5,1
that issued out,3,1
them and the light thereof,5,1
more terrible,2,1
man of courage al,4,1
strangers to it in times,5,1
and taken on,3,1
made about,2,2
joined the banners of the,5,1
she was upon the waters,5,1
handled and twelfth year of,5,1
of long island near,4,1
town to the,3,1
the king our,3,1
held out,2,2
the people rejoiced,3,3
horribly by the,3,1
some of their,3,3
evil which hath,3,1
humbled themselves and,3,1
rested upon the,3,2
lead and,2,2
and the brave captain of,5,1
as he passed along,4,1
leaden balls whizzed,3,1
them hip and,3,1
hundred miles to a town,5,1
is poison,2,2
hanged,1,1
month that a mighty,4,1
commanded the plantagenet,3,1
ships of britain approaching for,5,1
forests and,2,1
britain flee,2,1
and the lord god of,5,1
britain fled,2,2
upon the river about an,5,1
slain that day was a,5,1
the and the plunder but,5,1
medals,1,1
had departed from,3,3
craggy nest or the,4,1
they were about equal in,5,1
that on the third,4,1
prophet that he,3,1
was outshone,2,1
henry let him make inquiry,5,1
moreover the fire and smoke,5,1
wist not what,3,3
the independence of,3,2
battle waxed hot and they,5,1
fled nevertheless they,3,1
after a valiant,3,1
captain of the mariners of,5,1
hemmed,1,6
chastise the impudence of,4,1
the ball was about the,5,1
were heard and the,4,1
those who had,3,1
and defend that,3,1
them much,2,1
vessels and their slain and,5,1
dwell in the dark forests,5,1
of the year they,4,1
means thereof after,3,1
sails spread moving,3,1
dreadful ceased for,3,1
two wise men,3,1
into the haven of having,5,1
wings were not singed,4,1
night and stole him away,5,1
to hunt,2,1
and their barley and,4,1
rejoicings in the,3,2
them moreover they,3,1
taken and held as,4,1
another with great violence,4,1
nevertheless david fought,3,1
asunder,1,5
about the fifteenth day of,5,1
forth in the pleasant season,5,1
men of tennessee,3,1
dishearten the true friends,4,1
let the mischievous engines,4,1
destruction more than all the,5,1
words thereof pleased the young,5,1
east where,2,2
and returned again,3,1
king where they his memory,5,1
east journeying,2,1
fought against them with desperation,5,2
capture of little,3,1
and two and,3,1
children of israel in the,5,1
the king approached,3,1
day and his,3,1
were little,2,2
be led on to the,5,1
the thirty and seventh year,5,1
for it happened,3,1
to the shedding,3,1
noise of the engines of,5,1
was even taxed with,4,1
alas the sight,3,1
along they did much damage,5,1
compelled to fight so he,5,1
forty days before hand,4,1
all these tribulations the,4,1
britain in the fulness of,5,1
tall ships was,3,1
inflamed their blood with,4,1
the ship his,3,1
who were ruled by a,5,1
columbia from the,3,3
him and the,3,4
he crossed the waters of,5,1
than the space of half,5,2
under the banners of,4,2
them before the town,4,1
now these wonderful,3,1
chief governor whom,3,1
kindled and their,3,1
the treaty was,3,2
fleets of,2,1
evil spirit moving,3,1
out before,2,2
york made a,3,1
of columbia have done in,5,1
island was about,3,1
be greater than,3,1
it was rent,3,1
sheltered from the piercing,4,1
vessels which were covenanted to,5,1
farms nigh unto,3,1
patterson and,2,2
into pruning,2,1
in his mouth lo,4,1
their have been heard,4,1
waters even against the wind,5,1
and prepared them food,4,1
the officers and the men,5,1
by the brave met,4,1
of hartford the signification of,5,1
wickedness in which,3,1
shortly sleep with my,4,1
built them a strong,4,1
this william,2,2
the fair daughters of,4,4
the barbarians committed,3,1
city might from the,4,1
cross as,2,1
four slam and,3,1
inhumanly slaughtered at the river,5,1
vessels from whence they,4,1
sixth month a brave man,5,1
heart caused,2,1
about the same time that,5,2
an hundred thirty,3,3
grieved only because it,4,1
assailed the fort,3,1
chief force of the,4,1
drove the host,3,2
destroying engines into,3,2
and the put,3,1
the fifth month,3,3
same number of savages,4,1
most part called militia,4,1
loud shouts of joy,4,1
a stop put to the,5,1
columbia lost,2,1
their of war were,4,1
pass that david returned,4,1
sore pushed,2,1
hard to pass over,4,1
looked around,2,4
captured attacks by the,4,1
canada and driven,3,1
sea washed the shores of,5,1
to whom the king,4,1
them with the spirit of,5,1
commanded was one of,4,1
from new york towards,4,1
she alone but her,4,1
nigh there,2,1
south of the city,4,1
the powers of barbary to,5,1
to obey the,3,1
albeit she,2,1
was more,2,3
united states in the place,5,1
thou and repent,3,1
patterson where the wonderful waterfalls,5,1
bulwark of religion,3,2
fair daughters of columbia were,5,1
lawrence fallen his,3,1
spare your,2,1
were exceedingly rejoiced,3,2
deafening noise that sounded along,5,1
volunteers had great,3,1
hundred slain and wounded,4,1
this time they put the,5,1
the faithful,2,1
and were the same that,5,1
of was hard by,4,1
it become,2,1
daniel whose was,3,1
of silver which after a,5,1
valiant lawrence fallen his,4,1
first day of the first,5,2
was to whom he spake,5,1
britain was about,3,2
lawrence was buried in,4,1
the persons of some,4,1
were not asleep,3,1
curiously,1,2
merchant ships and compelled,4,1
and both vessels were,4,1
another small vessel,3,1
of would,2,1
bravery of,2,2
of columbia that fought,4,1
once more the valiant sons,5,1
the splendid arch,3,1
captains of the strong holds,5,1
backs for their,3,1
columbia grieved for him many,5,1
these waters encouraged the,4,1
prophets among the savages,4,1
downs who,2,1
praised god for his goodness,5,1
and he turned aside from,5,1
delivered and we are weary,5,1
williams and others who,4,1
had brought,2,1
yankees take from,3,1
eighth month the wasp captured,5,1
the christian sect that,4,1
freedom and where,3,1
he unto this day,4,1
seven maimed a circumstance,4,1
becomes a prey to thy,5,1
balls it lead such as,5,1
and the deep ditch,4,1
under were mostly,3,1
was so that the vessels,5,1
attempt to cross,3,1
and lawrence and the brave,5,1
king spake to the,4,1
caught fire and it,4,1
hour of danger arrived they,5,1
ten wounded and the loss,5,1
the haven of which in,5,1
thrown upon a,3,1
boyd a brave,3,1
capture of maiden and detroit,5,1
bondage left the service of,5,1
at was more than a,5,1
of history there were about,5,1
and when he departed from,5,1
columbia rushed,2,2
for age or sex from,5,1
to go to his own,5,1
about forty years before,4,1
sling and,2,1
being upon,2,1
trees of the,3,3
war of the king,4,1
thick woods,2,1
their vengeance was,3,1
and solomon,2,1
the battle continued,3,1
to pass after decatur had,5,2
of about,2,6
fathers inherited before us,4,1
chosen to,2,1
destroy the place saying,4,1
refused his request,3,1
against the tyrants of the,5,1
his finger,2,1
conquer you,2,1
she might be,3,1
of the country of columbia,5,1
the shedding of blood the,5,1
army of winchester the,4,1
boats ross,2,1
waters into the of persia,5,1
the chief captains of the,5,3
their engines to work with,5,1
saw no hopes of conquering,5,1
angel of the lord,4,1
was overcome but she was,5,1
where the sun,3,1
of it news of it,5,1
captain name was wales,4,1
roaring of the forest yea,5,1
drew nigh unto the place,5,1
tecumseh a,2,1
fear their loud ceased and,5,1
the king spread,3,1
get and for,3,1
cross of britain to,4,1
of the mouths,3,1
now it came,3,18
battering,1,2
the sixth hour being on,5,1
engines to work with,4,2
frigate southampton,2,1
and unable to,3,2
at a time even,4,1
was there and the brave,5,1
themselves to the host,4,1
army and the number of,5,1
sailed from the haven,4,1
expedition he returned encircled,4,1
on montreal defeated,3,1
good counsel,2,2
seven hundred and fifty,4,1
became manifest,2,1
of curious workmanship therein such,5,1
into their,2,18
followed after him was little,5,1
in the path of righteousness,5,1
and spill,2,1
with blood and on fire,5,1
refresh,1,2
and spilt,2,1
the good,2,8
a handful of men,4,3
drew back to his,4,1
ears so they,3,1
he made a,3,2
extravagant inasmuch,2,1
day and a night,4,1
his numbers were,3,1
captures two hundred british seamen,5,1
the king was,3,12
of the thick woods,4,1
suffered under,2,1
meditated upon the words,4,1
his captains said,3,1
their wounded,2,2
and they guarded themselves,4,1
thy chief captain and,4,1
his people even the,4,1
advantageous,1,1
and patterson,2,1
williams and,2,1
retaken in a neutral,4,1
skilful captain was greater than,5,1
nineteenth day of the,4,2
busily employed,2,1
fell of the men,4,4
forty that,2,1
unto the voice of,4,3
torch,1,1
their vessels that they,4,1
have invented another instrument of,5,1
a short time thereafter,4,1
in the eighteen hundred,4,7
possessed of an evil,4,1
spread her white wings,4,1
their tackling,2,1
inasmuch,1,30
waxed,1,7
king pleased the people,4,1
the the companions of the,5,1
a state,2,2
them that are able,4,1
the chesapeake fell,3,1
the and the rattlesnake fell,5,1
spread over the face of,5,1
with the servants,3,2
hath the striped,3,1
and they robbed those,4,1
the king that landed,4,1
much spoil even a large,5,1
night and put,3,1
whose was henry came,4,1
proctor with the savages,4,1
day of the third,4,4
and silver given,3,1
war against the people,4,1
upon the waters and,4,1
were brave,2,1
preserved,1,4
and their into it,4,1
the king therefore,3,1
judgment for,2,1
upon the servants of britain,5,1
what shall be done,4,1
they fled towards the town,5,1
army of britain rested,4,1
burnt your books,3,1
on the second,3,5
and boyd and and,4,1
man heart therein,3,1
unto the counsel of the,5,1
waterfalls catches,2,1
and when they,3,5
about and the,3,1
as the shadow after,4,1
unto william that they might,5,1
eagle for,2,1
with drinking of the,4,1
this happened,2,1
albeit the,2,1
baltimore erected,2,1
twenty third,2,1
wisdom him he,3,1
law sent forth from,4,1
champlain and was,3,1
down silently as slaves,4,1
columbia had triumphed over her,5,1
up towards the,3,1
the penguin by the hornet,5,1
come in sheep,3,1
false prophets which come in,5,1
jealous of the fame,4,1
children who are innocent,4,1
and he fell upon the,5,1
of the small vessels,4,1
thousand miles to receive,4,1
star of,2,1
gather themselves together and,4,1
destroyed them and slew three,5,1
for this gallant exploit,4,1
not been heard of,4,1
of the king are,4,2
chief warriors gave up their,5,1
feet of harrison,3,1
these shells so they used,5,1
and the black dust and,5,2
place whom they made,4,1
name was leonard was,4,1
with cold in the north,5,1
silver and gold and,4,1
king and a chief captain,5,1
people give him,3,1
their hearts of,3,1
remained at bermuda,3,1
unto you my whole,4,1
host from maiden appeared before,5,1
the king who,3,4
were returning with,3,1
continued for more than the,5,1
spain under the banners,4,1
and repent of thine evil,5,1
and they began,3,4
places their,2,1
shore and went against,4,1
place called on the,4,1
vessels was about half,4,1
f the king was,4,1
of columbia that were fighting,5,1
so the array of,4,1
offered by the,3,1
they raised neither,3,1
which had moved out of,5,1
the spot where,3,1
and lest they should,4,1
captain went out against them,5,1
are like wild roses,4,1
these balls which,3,1
scott and,2,1
unto the continent,3,1
dismay towards the,3,1
whose name was set one,5,1
the decatur having sailed out,5,1
his expedition he,3,1
of columbia was called,4,1
elliot and the,3,1
gallant decatur,2,3
so that when put,4,1
hand of age had,4,1
tenth month that stephen,4,1
retaken in a,3,1
flour and the,3,1
host of the king spake,5,1
to the yankee,3,1
my might but i have,5,1
was issued that a,4,1
of the waters and went,5,1
town of hartford,3,1
the deadly which rears,4,1
him to the,3,1
certain vessel of,3,1
columbia for they were,4,1
well knowing that they loved,5,1
nations the people throughout,4,1
sailed along,2,1
got into the hold,4,2
one against for the,4,1
at fort george,3,1
taught to walk in the,5,1
bent down into the ground,5,1
a pleasant village called,4,1
columbia may be likened,4,1
was carried with many,4,1
me in the,3,1
he bowed,2,1
and their eyes were,4,1
to pour forth,3,1
gallant drove them back crossing,5,1
it were a wreck,4,1
city might from,3,1
tuscarora and burnt them,4,1
was jones and he gave,5,1
thousand shekels and the,4,1
haven of charleston being in,5,1
the face of,3,9
words they led astray,4,1
there were none slain,4,1
steam frigate they,3,1
unable to go out to,5,1
from the wickedness of,4,1
smooth words,2,2
of henry,2,1
of columbia fought desperately and,5,1
fighting vessel,2,9
decatur of guns brig,4,1
for these depredations the gallant,5,1
the day about fifteen hundred,5,1
all sides and overcame them,5,1
being at the east end,5,1
time there was a,4,1
deed was ignoble,3,1
bastard more than,3,1
hold on the waters of,5,1
called kingston,2,1
would they,2,2
which empty,2,1
both parties,2,2
arch fiend,2,1
as they would,3,1
thousand chosen men to,4,1
poor went out together and,5,1
of britain was a grievous,5,1
their merchant ships and compelled,5,1
had departed to,3,1
war were used without mercy,5,1
hearts were moved with,4,1
harbor at the east,4,1
frolic became captive to the,5,1
the waters of erie before,5,1
like wild roses their,4,1
times past uttered many,4,1
waterfalls pour,2,1
rose up and,3,2
before the haven,3,1
and with his whole host,5,1
night when the,3,2
he spake well of all,5,1
the twenty and third day,5,2
adams and,2,2
great by the people throughout,5,1
the of columbia returned,4,1
samuel a philosopher,3,1
about them in,3,1
this they put the,4,1
a gentle breeze,3,1
eleventh month a strong,4,1
strong ships of britain approaching,5,1
even down to the country,5,1
the dwelling houses,3,1
things belonging to,3,1
many neither,2,1
were ready to burst with,5,1
go forth into,3,1
david went,2,1
under him ever ripley and,5,1
us and the,3,1
entreaties,1,1
and they overcame the servants,5,1
smith who were in the,5,1
trusted,1,2
of no avail he divided,5,1
michigan territory his trial and,5,1
strongest in,2,1
spirit of satan,3,3
but a brave captain,4,1
the deep and the,4,1
pleased with his countenance and,5,1
upon her navy,3,1
to capture the merchant,4,1
his name spoken of,4,1
mississippi in,2,2
obliged to guard their vessels,5,1
hundred men that were,4,1
host of columbia landed,4,1
the sword even the,4,1
hands that they might shed,5,1
the towns of,3,1
moreover one of the banners,5,1
in the country of flanders,5,1
groaned beneath the fire and,5,1
hold and a few of,5,1
a new ship and,4,1
noise and fury and,4,1
like chaff before,3,1
unto this,2,7
his command he sallied,4,1
us and the thing is,5,1
fires,1,3
nay thou defended thy,4,1
who went out and fought,5,1
not prove wicked and will,5,1
bravely against them,3,1
pass in the evening,4,1
and smote the,3,1
and the of tennessee their,5,1
captain gave great praise,4,1
a vessel which,3,1
neither can we,3,1
son rushed upon,3,1
next day ere the sun,5,1
slew three,2,1
we spare your,3,1
drew down the,3,1
be overcome even,3,1
die yet his name shall,5,1
name of the city where,5,1
night have we,3,1
faith with,2,1
and fled in,3,3
had not a man,4,1
not dismayed although woodbine the,5,1
of nigh the miami rapids,5,1
georgia tennessee and the mississippi,5,1
in this he was deceived,5,1
the lawgivers even,3,1
not slain,2,2
david were,2,1
columbia the great of the,5,1
they shall be free,4,1
of britain had destroyed,4,1
and with force,3,1
wicked led forth a,4,1
these days the strong,4,1
engines of the men of,5,1
dark forests and the swift,5,1
not dismayed,2,2
for which the people blessed,5,1
boyd and and and,4,2
neither was he afraid and,5,1
hundred houses,2,1
proclamation which hull published abroad,5,1
were not cruel and,4,1
sword even,2,1
for each of,3,1
on baltimore by the british,5,1
for they were sore,4,1
was overthrown when they were,5,1
their houses,2,3
their vessels and,3,4
of their own children,4,1
after him another,3,1
instrument of their wickedness might,5,1
wasp of,2,1
the chesapeake burnt,3,1
american squadron sails from arrives,5,1
rejoicings in the city of,5,1
and threw therein the,4,1
inhabitants the servants of,4,1
their men greater than those,5,1
of kentucky and the,4,1
his gallant little band fought,5,1
entreating,1,1
month in the one,4,3
a snare whereby their,4,1
and the old,3,2
in the against some of,5,1
them in candlesticks of silver,5,1
its mouth to receive the,5,1
waters the timid deer,4,1
when he heard of,4,1
the charm with their,4,1
downs he made,3,1
lords of britain strive,4,1
will harm happen,3,1
east to the state,4,1
whose was brown went to,5,1
take his vessel but with,5,1
people of columbia sit down,5,1
to a chief,3,1
william the,2,1
his glory the,3,1
they had wilfully,3,1
band at,2,1
to become a,3,1
a long,2,2
neck to britain,3,1
of those who,3,4
sent before,2,1
attempted to go,3,1
strong vessel of the,4,2
of britain even,3,3
gordon a captain,3,1
and bow the,3,1
columbia should,2,1
now there wore some amongst,5,1
afar he,2,1
brass whilst their actual good,5,1
of war and the,4,2
innocent lamb to,3,1
they robbed those who were,5,1
that were made of iron,5,1
blood of the people,4,2
name of this man was,5,1
of louisiana,2,3
oftentimes graven in brass,4,1
had a mightier place than,5,1
island of and those places,5,1
and suddenly the,3,1
georgetown and burnt them,4,1
number of the captives,4,1
against two strong ships,4,1
well even until,3,1
hold them but they turned,5,1
to answer him,3,1
commander her,2,1
of with a,3,1
john henry elijah,3,1
two hundred fighting men who,5,1
engines of destruction and,4,1
prepared to destroy the,4,1
miles from new,3,1
the second day,3,5
to let the nations,4,1
first commercial city in america,5,1
year they,2,1
brave captain of the argus,5,1
now it happened about,4,2
fighting on the,3,1
britain from,2,2
been trained to war being,5,1
name was harrison,3,1
valiant man to go against,5,1
attack fort stephenson,3,1
touching the matter and as,5,1
to hunt the squirrel the,5,1
was she compelled,3,1
the brave stewart fell,4,1
of great britain,3,7
used no entreaty with,4,1
he was overthrown,3,1
the army rested,3,1
the of algiers,3,1
capitulation of the town,4,1
smote him upon the back,5,1
suddenly departed from,3,1
and hopkins and,3,1
them liberty and,3,1
the next day after,4,2
the president after,3,1
frolic by the british frigate,5,1
to go against for,4,1
them and had showered the,5,1
before the army and,4,1
own land,2,1
the generous people of,4,1
from sending your,3,1
certainty,1,1
their into it plentifully and,5,1
king crossed the,3,1
and ninth year of,4,1
strong floating battery upon the,5,1
raisin capture of,3,1
and navy of,3,1
columbia his eyes,3,1
their virtues were extolled,4,1
three but there were,4,1
be officers and under,4,1
had been,2,22
blossom throughout,2,1
cast away,2,3
hands and went against,4,1
tickled the sons of,4,1
and put much,3,1
the decree was,3,1
his own mind,3,1
not done,2,1
vessel of britain was called,5,1
entrenchments and strengthened,3,1
beware of false,3,1
thereby inasmuch,2,1
much honor in the,4,1
cities their towns and,4,1
pikes and,2,1
numerous other evils,3,1
was the apple of,4,1
whose name was and the,5,2
also very great being an,5,1
opened the engines upon them,5,1
of their heads nor,4,1
are giants,2,1
heart shall,2,1
a loud,2,3
robbers of the,3,1
both vessels were,3,2
of books,2,1
the caledonia and,3,1
a certain strong ship of,5,3
protect it,2,1
first,1,30
against them before,3,1
who lived under their,4,1
mercenary cowards bastards and outlaws,5,1
and which lie on,4,1
as they captured,3,1
of liberty are,3,1
red and,2,1
was as a thousand flashes,5,1
the other end of,4,1
and he had many brave,5,1
the wise men and the,5,3
the gallant conduct of,4,1
brave who had,3,1
same time that,3,2
shining rifles to,3,1
he was yet speaking in,5,1
cup of,2,1
band to,2,1
and the vessels that,4,1
of britain was prepared to,5,1
on the fleet,3,1
britain have made a covenant,5,1
of the king but,4,1
went out against them and,5,1
champion of england,3,1
in all about two,4,1
with my might,3,1
unto them,2,19
foolish errand,2,1
now whilst the great lakes,5,1
unto thee,2,2
engines into one,3,1
one hour to depart s,5,1
they prepared their,3,1
banner of the,3,1
was wounded in,3,1
end of addressing the,4,1
king ships were seventy and,5,1
army crossed the great,4,1
to work with dreadful violence,5,1
when lawrence had made,4,1
recommended him to the mercy,5,1
a certain chief captain,4,2
the united states that moved,5,1
killed and wounded that day,5,1
south he gave the men,5,1
put skilful men to,4,1
with their swords and,4,1
whole host fled,3,1
overshadowed,1,3
been to the place before,5,1
of the chesapeake so peter,5,1
hundred and fifty men and,5,1
and they put windows in,5,1
and lawrence spake unto his,5,1
lawrence a fighting vessel,4,1
slain for the lord shall,5,1
and fifty valiant men from,5,1
band of,2,17
the young man returned,4,1
he wrought,2,1
of liberty and,3,4
covenant in writing between,4,1
sea coast which is,4,1
that day was two thousand,5,1
triumphant neither could the power,5,1
fort they cast,3,1
lords and,2,9
a certain hypocrite whose name,5,1
of an hour,3,5
fourteenth year that there was,5,1
the levant by the constitution,5,1
kindness and humanity,3,1
wounded of jacob,3,1
a boat and arrived at,5,1
saying we have met,4,1
was and the captain,4,1
forts displayed,2,1
the crime,2,1
scribe of the great were,5,1
the meanwhile many of,4,1
hundred of them,3,2
year that,2,10
waters and the macedonian was,5,1
a certain captain whose,4,2
somewhat unawares for,3,1
against for the strength of,5,1
of mighty waters,3,1
when he bore,3,1
day when the men,4,1
be stayed and drop,4,1
king for safety,3,1
neither was he a,4,1
now these were unknown even,5,1
at the front of,4,1
of these tall ships was,5,1
notwithstanding this they continued,4,1
atkinson,1,1
steal,1,1
dismayed and overthrown,3,1
the being,2,1
steam,1,5
iron that whistled about them,5,1
stead,1,2
where the federal,3,1
up difficulties,2,1
ship which he commanded was,5,1
his sons,2,1
moved but slowly oh,4,1
and they saw the,4,1
against them ye will,4,1
burst it asunder,3,1
immediately the mouths of,4,1
red brethren whose numbers,4,1
was an evil thing and,5,1
the counselors and,3,1
a heap of,3,1
twelve maimed and,3,1
chauncey neither came he to,5,1
is about seven cubits,4,1
greater number of boats and,5,1
triumphant neither,2,1
fight so,2,1
gave them hindrance and,4,1
judge the generous people of,5,1
a whirlwind,2,1
and the king coveted them,5,1
columbia use no persuasion the,5,1
not but compelled,3,1
councils day after,3,1
be shaken,2,1
a boat to,3,1
william was called to,4,1
your names shall,3,1
valiant man who had fought,5,1
eagle his,2,1
day were about two,4,1
fell upon the islands of,5,1
upon the spot,3,1
went more than an hundred,5,1
favored the king,3,1
other the cherub,3,1
extolled by,2,1
they deceived,2,2
we are a numerous host,5,1
the eyes of man and,5,1
and for the benefit of,5,1
command fire,2,1
whole island,2,1
the sun and the waving,5,1
and their flax,3,1
against the mighty ruler,4,1
maiden which is,3,1
commanded her,2,1
to pass that while the,5,1
fleet of britain weighed anchor,5,1
trial and pardon by the,5,1
and went up and,4,1
as nigh as they,4,1
of russia that,3,1
destruction that the ingenuity of,5,1
accompanied his father to battle,5,1
of britain now the great,5,1
town roundabout and,3,1
is indelibly printed,3,1
prowess,1,1
it asunder in the waters,5,1
free to be,3,1
the eighth month that,4,1
in the state,3,14
been committed at,3,1
they brought the,3,2
thus rendering good for,4,1
unto the province of,4,1
signed by the chiefs,4,1
rushed into the,3,1
and obscured the,3,1
message to the brave by,5,1
commissioners also rutgers and morris,5,1
the julia,2,1
land for this gallant,4,1
strength and,2,3
them from the face of,5,1
and proctor was,3,1
slaughter on board the,4,1
set it at nought,4,1
so as they passed,4,1
score and,2,33
a swarm of locusts,4,1
columbia inasmuch,2,2
their whole tribe,3,1
of britain whom,3,2
